time,x,prediction,ewma,error,lcl,ucl,stage_1_alarm,true_regime,true_shift
500,3.3638622298139094,-0.012403811131669452,0.021358849277786342,3.3762660409455787,-2.901380078275556,2.8765724560122172,1,after_shift,1
501,2.8951849819716857,0.021358849277786342,0.05009711060472534,2.873826132693899,-3.5922961216863265,3.6350138202418996,0,after_shift,0
502,1.2805197667152095,0.05009711060472534,0.06240133716583018,1.230422656110484,-3.965132848581227,4.065327069790678,0,after_shift,0
503,0.497496543959103,0.06240133716583018,0.0667522892337629,0.4350952067932728,-3.937253773539178,4.062056447870838,0,after_shift,0
504,-0.9645288378416512,0.0667522892337629,0.05643947796300877,-1.031281127075414,-3.8425401636146774,3.976044742082203,0,after_shift,0
505,1.456504492067365,0.05643947796300877,0.07044012810405234,1.4000650141043562,-3.816160740389095,3.9290396963151126,0,after_shift,0
506,4.420415012247402,0.07044012810405234,0.11393987694548585,4.34997488414335,-3.819195169490734,3.9600754256988386,1,after_shift,0
507,2.4348842714636474,0.11393987694548585,0.13714932089066748,2.3209443945181616,-4.670182433634125,4.898062187525097,0,after_shift,0
508,1.4404277139505104,0.13714932089066748,0.1501821048212659,1.3032783930598428,-4.778894542375474,5.053193184156809,0,after_shift,0
509,2.4650802095003064,0.1501821048212659,0.1733310858680563,2.3148981046790404,-4.720490688407237,5.020854898049768,0,after_shift,0
510,0.4390416470055571,0.1733310858680563,0.1759881914794313,0.2657105611375008,-4.821538255919825,5.168200427655937,0,after_shift,0
511,1.7026766373023643,0.1759881914794313,0.1912550759376606,1.526688445822933,-4.69567011965969,5.047646502618553,0,after_shift,0
512,2.0994774730157384,0.1912550759376606,0.21033729990844138,1.9082223970780778,-4.66623932861295,5.048749480488271,0,after_shift,0
513,1.9138993481789517,0.21033729990844138,0.22737292039114648,1.7035620482705103,-4.69415859857574,5.114833198392622,0,after_shift,0
514,2.790806121690081,0.22737292039114648,0.2530072524041358,2.5634332012989347,-4.687637930143588,5.142383770925881,0,after_shift,0
515,2.3446452262360524,0.2530072524041358,0.27392363214245496,2.091637973831917,-4.8368356211741075,5.3428501259823795,0,after_shift,0
516,2.668326018107997,0.27392363214245496,0.2978676560021104,2.3944023859655417,-4.881646432354635,5.429493696639544,0,after_shift,0
517,1.3116277177692406,0.2978676560021104,0.30800525661978173,1.01376006176713,-4.977625762542212,5.573361074546433,0,after_shift,0
518,2.897815408410548,0.30800525661978173,0.3339033581376894,2.5898101517907666,-4.878685261130875,5.494695774370439,0,after_shift,0
519,3.628936947623991,0.3339033581376894,0.3668536940325524,3.2950335894863017,-5.0116436747319755,5.679450391007355,0,after_shift,0
520,1.0298504803485873,0.3668536940325524,0.37348366189571275,0.6629967863160349,-5.29281858329234,6.026525971357445,0,after_shift,0
521,1.11230434428544,0.37348366189571275,0.38087186871961004,0.7388206823897272,-5.16078231515882,5.9077496389502455,0,after_shift,0
522,3.335784336320233,0.38087186871961004,0.4104209933956162,2.954912467600623,-5.035984240673668,5.797727978112888,0,after_shift,0
523,1.80865601330494,0.4104209933956162,0.42440334359470944,1.3982350199093239,-5.2291172913764115,6.049959278167645,0,after_shift,0
524,3.4038213920665568,0.42440334359470944,0.45419752407942793,2.9794180484718473,-5.151791594626543,6.000598281815963,0,after_shift,0
525,1.5574642881078162,0.45419752407942793,0.4652301917197118,1.1032667640283882,-5.336646270048853,6.245041318207708,0,after_shift,0
